City,County,Year,TOTALproduction,SFproduction,Mfproduction,Mhproduction
Unincorporated Contra Costa County,Contra Costa County,2006,315,492,-124,-53
Unincorporated Contra Costa County,Contra Costa County,2007,578,767,-131,-58
Unincorporated Contra Costa County,Contra Costa County,2008,3,190,-131,-56
Unincorporated Contra Costa County,Contra Costa County,2009,-622,-249,-315,-58
Unincorporated Contra Costa County,Contra Costa County,2010,663,321,356,-14
Unincorporated Contra Costa County,Contra Costa County,2011,300,83,217,0
Unincorporated Contra Costa County,Contra Costa County,2012,45,45,0,0
Unincorporated Contra Costa County,Contra Costa County,2013,449,329,120,0
Unincorporated Contra Costa County,Contra Costa County,2014,147,147,0,0
Unincorporated Contra Costa County,Contra Costa County,2015,253,253,0,0
Unincorporated Contra Costa County,Contra Costa County,2016,231,232,0,-1
Unincorporated Contra Costa County,Contra Costa County,2017,-145,-155,10,0
Walnut Creek,Contra Costa County,1990,200,82,117,2
Walnut Creek,Contra Costa County,1991,301,66,231,4
Walnut Creek,Contra Costa County,1992,135,53,79,3
Walnut Creek,Contra Costa County,1993,34,43,-12,3
Walnut Creek,Contra Costa County,1994,72,46,23,3
Walnut Creek,Contra Costa County,1995,73,47,23,3
Walnut Creek,Contra Costa County,1996,108,80,24,4
Walnut Creek,Contra Costa County,1997,98,45,50,3
Walnut Creek,Contra Costa County,1998,98,71,24,3
Walnut Creek,Contra Costa County,1999,310,264,43,3
Walnut Creek,Contra Costa County,2000,342,126,219,-3
Walnut Creek,Contra Costa County,2001,80,82,2,-4
Walnut Creek,Contra Costa County,2002,66,52,19,-5
Walnut Creek,Contra Costa County,2003,178,85,98,-5
Walnut Creek,Contra Costa County,2004,213,66,152,-5
Walnut Creek,Contra Costa County,2005,50,60,-5,-5
Walnut Creek,Contra Costa County,2006,47,62,-11,-4
Walnut Creek,Contra Costa County,2007,50,41,14,-5
Walnut Creek,Contra Costa County,2008,141,70,76,-5
Walnut Creek,Contra Costa County,2009,109,34,80,-5
Walnut Creek,Contra Costa County,2010,158,11,148,-1
Walnut Creek,Contra Costa County,2011,107,2,105,0
Walnut Creek,Contra Costa County,2012,45,9,36,0
Walnut Creek,Contra Costa County,2013,24,14,10,0
Walnut Creek,Contra Costa County,2014,30,26,4,0
Walnut Creek,Contra Costa County,2015,448,-2,450,0
Walnut Creek,Contra Costa County,2016,120,8,112,0
Walnut Creek,Contra Costa County,2017,73,9,64,0
Belvedere,Marin County,1990,2,3,-1,0
Belvedere,Marin County,1991,2,3,-1,0
Belvedere,Marin County,1992,1,2,-1,0
Belvedere,Marin County,1993,1,2,-1,0
Belvedere,Marin County,1994,1,3,-2,0
Belvedere,Marin County,1995,2,4,-1,-1
Belvedere,Marin County,1996,4,5,-1,0
Belvedere,Marin County,1997,3,4,-1,0
Belvedere,Marin County,1998,4,6,-2,0
Belvedere,Marin County,1999,2,2,0,0
Belvedere,Marin County,2000,-2,0,-2,0
Belvedere,Marin County,2001,-2,1,-3,0
Belvedere,Marin County,2002,0,2,-2,0
Belvedere,Marin County,2003,3,5,-2,0
Belvedere,Marin County,2004,-1,1,-2,0
Belvedere,Marin County,2005,-6,-4,-2,0
Belvedere,Marin County,2006,-1,1,-2,0
Belvedere,Marin County,2007,-2,1,-3,0
Belvedere,Marin County,2008,-1,0,-1,0
Belvedere,Marin County,2009,-2,1,-3,0
Belvedere,Marin County,2010,0,0,0,0
Belvedere,Marin County,2011,0,0,0,0
Belvedere,Marin County,2012,1,1,0,0
Belvedere,Marin County,2013,-2,-2,0,0
Belvedere,Marin County,2014,1,1,0,0
Belvedere,Marin County,2015,3,1,2,0
Belvedere,Marin County,2016,-1,-1,0,0
Belvedere,Marin County,2017,1,1,0,0
Corte Madera,Marin County,1990,2,-9,10,1
Corte Madera,Marin County,1991,-2,-4,2,0
Corte Madera,Marin County,1992,-6,-9,2,1
Corte Madera,Marin County,1993,-4,-7,2,1
Corte Madera,Marin County,1994,10,-3,12,1
Corte Madera,Marin County,1995,7,5,1,1
Corte Madera,Marin County,1996,28,26,2,0
Corte Madera,Marin County,1997,42,39,2,1
Corte Madera,Marin County,1998,49,46,2,1
Corte Madera,Marin County,1999,7,4,2,1
Corte Madera,Marin County,2000,1,8,-6,-1
Corte Madera,Marin County,2001,116,6,110,0
Corte Madera,Marin County,2002,-2,9,-10,-1
Corte Madera,Marin County,2003,-2,7,-8,-1
Corte Madera,Marin County,2004,-1,9,-9,-1
Corte Madera,Marin County,2005,-3,7,-9,-1
Corte Madera,Marin County,2006,-1,9,-9,-1
Corte Madera,Marin County,2007,-4,6,-9,-1
Corte Madera,Marin County,2008,76,6,71,-1
Corte Madera,Marin County,2009,-3,8,-10,-1
Corte Madera,Marin County,2010,-1,1,-2,0
Corte Madera,Marin County,2011,0,0,0,0
Corte Madera,Marin County,2012,-1,-1,0,0
Corte Madera,Marin County,2013,1,1,0,0
Corte Madera,Marin County,2014,0,0,0,0
Corte Madera,Marin County,2015,1,1,0,0
Corte Madera,Marin County,2016,0,0,0,0
Corte Madera,Marin County,2017,180,0,180,0
Fairfax,Marin County,1990,24,21,2,1
Fairfax,Marin County,1991,23,19,3,1
Fairfax,Marin County,1992,16,13,2,1
Fairfax,Marin County,1993,17,13,3,1
Fairfax,Marin County,1994,18,14,3,1
Fairfax,Marin County,1995,23,20,2,1
Fairfax,Marin County,1996,15,11,3,1
Fairfax,Marin County,1997,21,18,2,1
Fairfax,Marin County,1998,18,14,3,1
Fairfax,Marin County,1999,15,11,3,1
Fairfax,Marin County,2000,15,9,6,0
Fairfax,Marin County,2001,18,12,6,0
Fairfax,Marin County,2002,17,8,8,1
Fairfax,Marin County,2003,17,9,8,0
Fairfax,Marin County,2004,16,12,4,0
Fairfax,Marin County,2005,17,9,8,0
Fairfax,Marin County,2006,17,11,6,0
Fairfax,Marin County,2007,18,9,8,1
Fairfax,Marin County,2008,15,7,8,0
Fairfax,Marin County,2009,15,9,6,0
Fairfax,Marin County,2010,5,3,2,0
Fairfax,Marin County,2011,1,1,0,0
Fairfax,Marin County,2012,0,0,0,0
Fairfax,Marin County,2013,-3,-3,0,0
Fairfax,Marin County,2014,3,3,0,0
Fairfax,Marin County,2015,0,0,0,0
Fairfax,Marin County,2016,3,3,0,0
Fairfax,Marin County,2017,5,5,0,0
Larkspur,Marin County,1990,33,13,19,0
Larkspur,Marin County,1991,249,18,230,1
Larkspur,Marin County,1992,17,8,9,0
Larkspur,Marin County,1993,18,9,8,1
Larkspur,Marin County,1994,14,7,7,0
Larkspur,Marin County,1995,15,7,8,0
Larkspur,Marin County,1996,25,7,17,1
Larkspur,Marin County,1997,49,41,8,0
Larkspur,Marin County,1998,13,6,6,1
Larkspur,Marin County,1999,12,4,9,-1
Larkspur,Marin County,2000,-2,15,-21,4
Larkspur,Marin County,2001,-6,23,-34,5
Larkspur,Marin County,2002,-9,19,-33,5
Larkspur,Marin County,2003,-6,22,-33,5
Larkspur,Marin County,2004,-7,21,-33,5
Larkspur,Marin County,2005,-9,19,-33,5
Larkspur,Marin County,2006,-7,21,-33,5
Larkspur,Marin County,2007,3,32,-34,5
Larkspur,Marin County,2008,-4,23,-32,5
Larkspur,Marin County,2009,15,20,-10,5
Larkspur,Marin County,2010,-2,5,-8,1
Larkspur,Marin County,2011,4,4,0,0
Larkspur,Marin County,2012,0,0,0,0
Larkspur,Marin County,2013,3,6,-3,0
Larkspur,Marin County,2014,55,41,14,0
Larkspur,Marin County,2015,35,7,28,0
Larkspur,Marin County,2016,7,3,4,0
Larkspur,Marin County,2017,-2,-2,0,0
Mill Valley,Marin County,1990,22,25,-3,0
Mill Valley,Marin County,1991,13,16,-3,0
Mill Valley,Marin County,1992,14,18,-4,0
Mill Valley,Marin County,1993,23,9,14,0
Mill Valley,Marin County,1994,7,11,-4,0
Mill Valley,Marin County,1995,19,22,-3,0
Mill Valley,Marin County,1996,15,18,-3,0
Mill Valley,Marin County,1997,8,18,-10,0
Mill Valley,Marin County,1998,16,19,-3,0
Mill Valley,Marin County,1999,12,16,-4,0
Mill Valley,Marin County,2000,23,30,-8,1
Mill Valley,Marin County,2001,17,28,-12,1
Mill Valley,Marin County,2002,17,25,-10,2
Mill Valley,Marin County,2003,22,33,-12,1
Mill Valley,Marin County,2004,36,44,-10,2
Mill Valley,Marin County,2005,23,34,-12,1
Mill Valley,Marin County,2006,13,22,-10,1
Mill Valley,Marin County,2007,31,41,-12,2
Mill Valley,Marin County,2008,37,25,11,1
Mill Valley,Marin County,2009,27,35,-10,2
Mill Valley,Marin County,2010,33,35,-2,0
Mill Valley,Marin County,2011,30,30,0,0
Mill Valley,Marin County,2012,9,2,7,0
Mill Valley,Marin County,2013,10,2,8,0
Mill Valley,Marin County,2014,8,8,0,0
Mill Valley,Marin County,2015,10,10,0,0
Mill Valley,Marin County,2016,6,6,0,0
Mill Valley,Marin County,2017,11,11,0,0
Novato,Marin County,1990,45,46,-6,5
Novato,Marin County,1991,-65,-65,-8,8
Novato,Marin County,1992,-29,-79,43,7
Novato,Marin County,1993,-71,-73,-5,7
Novato,Marin County,1994,-55,-55,-8,8
Novato,Marin County,1995,-61,-60,-8,7
Novato,Marin County,1996,-23,-76,46,7
Novato,Marin County,1997,-62,-83,13,8
Novato,Marin County,1998,77,-2,72,7
Novato,Marin County,1999,421,317,97,7
Novato,Marin County,2000,255,302,-41,-6
Novato,Marin County,2001,213,286,-56,-17
Novato,Marin County,2002,87,170,-66,-17
Novato,Marin County,2003,426,383,60,-17
Novato,Marin County,2004,489,413,93,-17
Novato,Marin County,2005,175,245,-53,-17
Novato,Marin County,2006,436,182,271,-17
Novato,Marin County,2007,47,120,-56,-17
Novato,Marin County,2008,28,100,-55,-17
Novato,Marin County,2009,33,106,-56,-17
Novato,Marin County,2010,48,65,-13,-4
Novato,Marin County,2011,45,45,0,0
Novato,Marin County,2012,77,16,61,0
Novato,Marin County,2013,56,5,51,0
Novato,Marin County,2014,21,21,0,0
Novato,Marin County,2015,19,19,0,0
Novato,Marin County,2016,7,7,0,0
Novato,Marin County,2017,27,13,14,0
Ross,Marin County,1990,3,3,-1,1
Ross,Marin County,1991,2,2,0,0
Ross,Marin County,1992,2,1,0,1
Ross,Marin County,1993,2,1,0,1
Ross,Marin County,1994,1,2,-1,0
Ross,Marin County,1995,4,3,0,1
Ross,Marin County,1996,1,1,-1,1
Ross,Marin County,1997,3,3,0,0
Ross,Marin County,1998,7,7,-1,1
Ross,Marin County,1999,3,2,0,1
Ross,Marin County,2000,8,6,3,-1
Ross,Marin County,2001,10,7,3,0
Ross,Marin County,2002,10,8,3,-1
Ross,Marin County,2003,7,4,4,-1
Ross,Marin County,2004,6,5,2,-1
Ross,Marin County,2005,8,5,4,-1
Ross,Marin County,2006,9,5,4,0
Ross,Marin County,2007,8,7,2,-1
Ross,Marin County,2008,6,3,4,-1
Ross,Marin County,2009,7,5,3,-1
Ross,Marin County,2010,3,2,1,0
Ross,Marin County,2011,0,0,0,0
Ross,Marin County,2012,4,4,0,0
Ross,Marin County,2013,0,0,0,0
Ross,Marin County,2014,1,1,0,0
Ross,Marin County,2015,1,1,0,0
Ross,Marin County,2016,0,0,0,0
Ross,Marin County,2017,1,1,0,0
San Anselmo,Marin County,1990,6,5,0,1
San Anselmo,Marin County,1991,2,1,0,1
San Anselmo,Marin County,1992,6,4,0,2
San Anselmo,Marin County,1993,7,7,-1,1
San Anselmo,Marin County,1994,6,5,0,1
San Anselmo,Marin County,1995,6,3,2,1
San Anselmo,Marin County,1996,14,10,2,2
San Anselmo,Marin County,1997,11,11,-1,1
San Anselmo,Marin County,1998,10,8,1,1
San Anselmo,Marin County,1999,9,8,-1,2
San Anselmo,Marin County,2000,-2,30,-33,1
San Anselmo,Marin County,2001,14,33,-21,2
San Anselmo,Marin County,2002,17,34,-19,2
San Anselmo,Marin County,2003,15,33,-20,2
San Anselmo,Marin County,2004,21,28,-9,2
San Anselmo,Marin County,2005,12,30,-20,2
San Anselmo,Marin County,2006,19,27,-10,2
San Anselmo,Marin County,2007,18,28,-12,2
San Anselmo,Marin County,2008,10,27,-19,2
San Anselmo,Marin County,2009,10,28,-20,2
San Anselmo,Marin County,2010,2,7,-5,0
San Anselmo,Marin County,2011,1,1,0,0
San Anselmo,Marin County,2012,1,1,0,0
San Anselmo,Marin County,2013,2,2,0,0
San Anselmo,Marin County,2014,4,4,0,0
San Anselmo,Marin County,2015,3,3,0,0
San Anselmo,Marin County,2016,0,0,0,0
San Anselmo,Marin County,2017,14,14,0,0
San Rafael,Marin County,1990,346,85,258,3
San Rafael,Marin County,1991,364,66,293,5
San Rafael,Marin County,1992,157,71,82,4
San Rafael,Marin County,1993,109,49,55,5
San Rafael,Marin County,1994,116,26,86,4
San Rafael,Marin County,1995,78,40,34,4
San Rafael,Marin County,1996,260,68,187,5
San Rafael,Marin County,1997,117,25,88,4
San Rafael,Marin County,1998,104,58,41,5
San Rafael,Marin County,1999,143,36,103,4
San Rafael,Marin County,2000,100,106,-1,-5
San Rafael,Marin County,2001,130,129,9,-8
San Rafael,Marin County,2002,339,138,210,-9
San Rafael,Marin County,2003,41,73,-24,-8
San Rafael,Marin County,2004,114,118,4,-8
San Rafael,Marin County,2005,43,82,-31,-8
San Rafael,Marin County,2006,185,82,111,-8
San Rafael,Marin County,2007,54,96,-33,-9
San Rafael,Marin County,2008,14,76,-54,-8
San Rafael,Marin County,2009,46,81,-27,-8
San Rafael,Marin County,2010,13,25,-10,-2
San Rafael,Marin County,2011,-6,-6,0,0
San Rafael,Marin County,2012,3,3,0,0
San Rafael,Marin County,2013,24,24,0,0
San Rafael,Marin County,2014,-2,-2,0,0
San Rafael,Marin County,2015,0,0,0,0
San Rafael,Marin County,2016,27,27,0,0
San Rafael,Marin County,2017,18,4,14,0
Sausalito,Marin County,1990,8,11,-19,16
Sausalito,Marin County,1991,11,15,-26,22
Sausalito,Marin County,1992,23,17,-15,21
Sausalito,Marin County,1993,14,14,-22,22
Sausalito,Marin County,1994,6,13,-29,22
Sausalito,Marin County,1995,18,20,-23,21
Sausalito,Marin County,1996,9,13,-26,22
Sausalito,Marin County,1997,12,16,-25,21
Sausalito,Marin County,1998,16,16,-22,22
Sausalito,Marin County,1999,14,16,-24,22
Sausalito,Marin County,2000,6,42,-31,-5
Sausalito,Marin County,2001,1,49,-34,-14
Sausalito,Marin County,2002,1,47,-32,-14
Sausalito,Marin County,2003,-2,45,-33,-14
Sausalito,Marin County,2004,16,45,-15,-14
Sausalito,Marin County,2005,-1,47,-34,-14
Sausalito,Marin County,2006,5,53,-34,-14
Sausalito,Marin County,2007,3,53,-36,-14
Sausalito,Marin County,2008,0,47,-33,-14
Sausalito,Marin County,2009,-1,49,-36,-14
Sausalito,Marin County,2010,0,10,-7,-3
Sausalito,Marin County,2011,0,0,0,0
Sausalito,Marin County,2012,0,0,0,0
Sausalito,Marin County,2013,9,1,8,0
Sausalito,Marin County,2014,26,-18,44,0
Sausalito,Marin County,2015,4,4,0,0
Sausalito,Marin County,2016,5,5,0,0
Sausalito,Marin County,2017,0,0,0,0
Tiburon,Marin County,1990,41,37,4,0
Tiburon,Marin County,1991,43,35,8,0
Tiburon,Marin County,1992,54,49,5,0
Tiburon,Marin County,1993,51,45,6,0
Tiburon,Marin County,1994,31,26,5,0
Tiburon,Marin County,1995,40,36,4,0
Tiburon,Marin County,1996,38,33,5,0
Tiburon,Marin County,1997,32,27,5,0
Tiburon,Marin County,1998,88,84,4,0
Tiburon,Marin County,1999,21,16,5,0
Tiburon,Marin County,2000,25,46,-22,1
Tiburon,Marin County,2001,18,51,-34,1
Tiburon,Marin County,2002,43,49,-8,2
Tiburon,Marin County,2003,10,41,-32,1
Tiburon,Marin County,2004,5,32,-29,2
Tiburon,Marin County,2005,19,46,-28,1
Tiburon,Marin County,2006,11,41,-31,1
Tiburon,Marin County,2007,3,32,-31,2
Tiburon,Marin County,2008,4,34,-31,1
Tiburon,Marin County,2009,3,33,-32,2
Tiburon,Marin County,2010,3,10,-7,0
Tiburon,Marin County,2011,0,0,0,0
Tiburon,Marin County,2012,0,0,0,0
Tiburon,Marin County,2013,1,1,0,0
Tiburon,Marin County,2014,2,2,0,0
Tiburon,Marin County,2015,0,0,0,0
Tiburon,Marin County,2016,2,2,0,0
Tiburon,Marin County,2017,5,5,0,0
Unincorporated Marin County,Marin County,1990,179,168,10,2
Unincorporated Marin County,Marin County,1991,158,158,-3,3
Unincorporated Marin County,Marin County,1992,97,100,-5,2
Unincorporated Marin County,Marin County,1993,128,130,-5,3
Unincorporated Marin County,Marin County,1994,124,96,25,3
Unincorporated Marin County,Marin County,1995,127,129,-5,3
Unincorporated Marin County,Marin County,1996,151,154,-5,2
Unincorporated Marin County,Marin County,1997,339,103,233,3
Unincorporated Marin County,Marin County,1998,95,97,-5,3
Unincorporated Marin County,Marin County,1999,138,141,-5,2
Unincorporated Marin County,Marin County,2000,197,196,-11,12
Unincorporated Marin County,Marin County,2001,199,200,-15,14
Unincorporated Marin County,Marin County,2002,235,232,-14,17
Unincorporated Marin County,Marin County,2003,190,190,-14,14
Unincorporated Marin County,Marin County,2004,192,191,-14,15
Unincorporated Marin County,Marin County,2005,212,192,6,14
Unincorporated Marin County,Marin County,2006,188,188,-15,15
Unincorporated Marin County,Marin County,2007,215,214,-13,14
Unincorporated Marin County,Marin County,2008,196,191,-12,17
Unincorporated Marin County,Marin County,2009,260,209,36,15
Unincorporated Marin County,Marin County,2010,78,62,9,7
Unincorporated Marin County,Marin County,2011,35,29,4,2
Unincorporated Marin County,Marin County,2012,12,12,0,0
Unincorporated Marin County,Marin County,2013,16,15,0,1
Unincorporated Marin County,Marin County,2014,31,29,2,0
Unincorporated Marin County,Marin County,2015,30,25,2,3
Unincorporated Marin County,Marin County,2016,31,25,0,6
Unincorporated Marin County,Marin County,2017,34,33,-1,2
American Canyon,Napa County,1992,86,48,50,-12
American Canyon,Napa County,1993,40,47,1,-8
American Canyon,Napa County,1994,54,65,1,-12
American Canyon,Napa County,1995,42,51,2,-11
American Canyon,Napa County,1996,0,10,2,-12
American Canyon,Napa County,1997,-5,6,1,-12
American Canyon,Napa County,1998,1,11,2,-12
American Canyon,Napa County,1999,29,39,2,-12
American Canyon,Napa County,2000,105,109,-6,2
American Canyon,Napa County,2001,430,433,-10,7
American Canyon,Napa County,2002,386,387,-8,7
American Canyon,Napa County,2003,350,354,-11,7
American Canyon,Napa County,2004,422,424,-8,6
American Canyon,Napa County,2005,291,296,-10,5
American Canyon,Napa County,2006,399,184,208,7
American Canyon,Napa County,2007,136,138,-9,7
American Canyon,Napa County,2008,70,72,-9,7
American Canyon,Napa County,2009,99,100,-9,8
American Canyon,Napa County,2010,54,54,-2,2
American Canyon,Napa County,2011,22,22,0,0
American Canyon,Napa County,2012,21,21,0,0
American Canyon,Napa County,2013,10,10,0,0
American Canyon,Napa County,2014,1,1,0,0
American Canyon,Napa County,2015,-3,-3,0,0
American Canyon,Napa County,2016,60,0,60,0
American Canyon,Napa County,2017,83,-5,88,0
Calistoga,Napa County,1990,3,1,3,-1
Calistoga,Napa County,1991,-5,-4,1,-2
Calistoga,Napa County,1992,15,6,11,-2
Calistoga,Napa County,1993,28,23,6,-1
Calistoga,Napa County,1994,11,8,5,-2
Calistoga,Napa County,1995,5,4,3,-2
Calistoga,Napa County,1996,11,8,4,-1
Calistoga,Napa County,1997,16,15,3,-2
Calistoga,Napa County,1998,4,2,4,-2
Calistoga,Napa County,1999,3,1,4,-2
Calistoga,Napa County,2000,3,7,-4,0
Calistoga,Napa County,2001,1,10,-8,-1
Calistoga,Napa County,2002,1,6,-6,1
Calistoga,Napa County,2003,1,7,-8,2
Calistoga,Napa County,2004,13,12,-7,8
Calistoga,Napa County,2005,26,16,-8,18
Calistoga,Napa County,2006,20,10,-2,12
Calistoga,Napa County,2007,9,17,-8,0
Calistoga,Napa County,2008,-1,4,-7,2
Calistoga,Napa County,2009,-1,7,-7,-1
Calistoga,Napa County,2010,-1,1,-2,0
Calistoga,Napa County,2011,1,1,0,0
Calistoga,Napa County,2012,-1,0,-1,0
Calistoga,Napa County,2013,1,1,0,0
Calistoga,Napa County,2014,0,0,0,0
Calistoga,Napa County,2015,50,2,48,0
Calistoga,Napa County,2016,2,2,0,0
Calistoga,Napa County,2017,2,2,0,0
Napa,Napa County,1990,365,258,111,-3
Napa,Napa County,1991,353,262,53,38
Napa,Napa County,1992,452,236,219,-3
Napa,Napa County,1993,184,165,23,-4
Napa,Napa County,1994,282,215,71,-4
Napa,Napa County,1995,214,202,16,-4
Napa,Napa County,1996,179,171,12,-4
Napa,Napa County,1997,89,88,4,-3
Napa,Napa County,1998,202,203,3,-4
Napa,Napa County,1999,433,401,36,-4
Napa,Napa County,2000,370,188,191,-9
Napa,Napa County,2001,155,173,-7,-11
Napa,Napa County,2002,220,111,120,-11
Napa,Napa County,2003,733,117,627,-11
Napa,Napa County,2004,162,153,20,-11
Napa,Napa County,2005,278,236,53,-11
Napa,Napa County,2006,114,77,48,-11
Napa,Napa County,2007,196,168,38,-10
Napa,Napa County,2008,114,75,50,-11
Napa,Napa County,2009,131,67,-10,74
Napa,Napa County,2010,26,27,2,-3
Napa,Napa County,2011,67,67,0,0
Napa,Napa County,2012,52,50,2,0
Napa,Napa County,2013,29,33,-4,0
Napa,Napa County,2014,50,50,0,0
Napa,Napa County,2015,49,49,0,0
Napa,Napa County,2016,102,61,41,0
Napa,Napa County,2017,63,63,0,0
St. Helena,Napa County,1990,15,19,2,-6
St. Helena,Napa County,1991,21,25,3,-7
St. Helena,Napa County,1992,63,13,58,-8
St. Helena,Napa County,1993,77,1,83,-7
St. Helena,Napa County,1994,1,6,3,-8
St. Helena,Napa County,1995,-6,-1,2,-7
St. Helena,Napa County,1996,37,25,20,-8
St. Helena,Napa County,1997,41,45,3,-7
St. Helena,Napa County,1998,63,64,7,-8
St. Helena,Napa County,1999,33,37,3,-7
St. Helena,Napa County,2000,11,12,0,-1
St. Helena,Napa County,2001,10,10,0,0
St. Helena,Napa County,2002,14,9,4,1
St. Helena,Napa County,2003,8,7,0,1
St. Helena,Napa County,2004,10,8,0,2
St. Helena,Napa County,2005,10,7,2,1
St. Helena,Napa County,2006,7,7,0,0
St. Helena,Napa County,2007,-15,1,0,-16
St. Helena,Napa County,2008,7,6,0,1
St. Helena,Napa County,2009,4,3,0,1
St. Helena,Napa County,2010,0,0,0,0
St. Helena,Napa County,2011,-1,-1,0,0
St. Helena,Napa County,2012,0,0,0,0
St. Helena,Napa County,2013,28,18,10,0
St. Helena,Napa County,2014,37,35,0,2
St. Helena,Napa County,2015,20,20,0,0
St. Helena,Napa County,2016,3,3,0,0
St. Helena,Napa County,2017,12,12,0,0
Unincorporated Napa County,Napa County,1990,221,227,-32,25
Unincorporated Napa County,Napa County,1991,-2866,-1891,-113,-862
Unincorporated Napa County,Napa County,1992,23,86,-92,29
Unincorporated Napa County,Napa County,1993,15,32,-47,30
Unincorporated Napa County,Napa County,1994,62,74,-46,34
Unincorporated Napa County,Napa County,1995,29,55,-46,20
Unincorporated Napa County,Napa County,1996,57,75,-45,27
Unincorporated Napa County,Napa County,1997,37,57,-41,21
Unincorporated Napa County,Napa County,1998,25,53,-48,20
Unincorporated Napa County,Napa County,1999,80,105,-45,20
Unincorporated Napa County,Napa County,2000,31,86,-46,-9
Unincorporated Napa County,Napa County,2001,129,86,61,-18
Unincorporated Napa County,Napa County,2002,98,55,61,-18
Unincorporated Napa County,Napa County,2003,77,55,41,-19
Unincorporated Napa County,Napa County,2004,96,53,61,-18
Unincorporated Napa County,Napa County,2005,148,108,58,-18
Unincorporated Napa County,Napa County,2006,79,37,61,-19
Unincorporated Napa County,Napa County,2007,112,44,63,5
Unincorporated Napa County,Napa County,2008,76,24,62,-10
Unincorporated Napa County,Napa County,2009,-36,-11,59,-84
Unincorporated Napa County,Napa County,2010,47,32,17,-2
Unincorporated Napa County,Napa County,2011,18,18,0,0
Unincorporated Napa County,Napa County,2012,19,15,2,2
Unincorporated Napa County,Napa County,2013,5,2,0,3
Unincorporated Napa County,Napa County,2014,7,8,0,-1
Unincorporated Napa County,Napa County,2015,-4,-10,0,6
Unincorporated Napa County,Napa County,2016,18,15,0,3
Unincorporated Napa County,Napa County,2017,-562,-564,0,2
Yountville,Napa County,1990,12,10,3,-1
Yountville,Napa County,1991,24,35,-10,-1
Yountville,Napa County,1992,17,28,-9,-2
Yountville,Napa County,1993,10,20,-9,-1
Yountville,Napa County,1994,-1,10,-9,-2
Yountville,Napa County,1995,-3,8,-10,-1
Yountville,Napa County,1996,1,12,-10,-1
Yountville,Napa County,1997,55,61,-9,3
Yountville,Napa County,1998,50,60,-9,-1
Yountville,Napa County,1999,4,15,-9,-2
Yountville,Napa County,2000,13,6,8,-1
Yountville,Napa County,2001,6,-1,8,-1
Yountville,Napa County,2002,9,1,8,0
Yountville,Napa County,2003,6,-2,9,-1
Yountville,Napa County,2004,6,-2,9,-1
Yountville,Napa County,2005,17,9,9,-1
Yountville,Napa County,2006,22,11,12,-1
Yountville,Napa County,2007,7,0,8,-1
Yountville,Napa County,2008,4,-2,7,-1
Yountville,Napa County,2009,8,-2,11,-1
Yountville,Napa County,2010,33,-2,35,0
Yountville,Napa County,2011,0,0,0,0
Yountville,Napa County,2012,-4,0,-4,0
Yountville,Napa County,2013,6,2,4,0
Yountville,Napa County,2014,9,9,0,0
Yountville,Napa County,2015,1,1,0,0
Yountville,Napa County,2016,2,2,0,0
Yountville,Napa County,2017,0,0,0,0
San Francisco,San Francisco County,1990,2145,418,1693,34
San Francisco,San Francisco County,1991,2160,534,1582,44
San Francisco,San Francisco County,1992,1269,616,608,45
San Francisco,San Francisco County,1993,877,540,292,45
San Francisco,San Francisco County,1994,1266,548,674,44
San Francisco,San Francisco County,1995,1428,620,763,45
San Francisco,San Francisco County,1996,1089,668,376,45
San Francisco,San Francisco County,1997,1774,731,999,44
San Francisco,San Francisco County,1998,2263,722,1496,45
San Francisco,San Francisco County,1999,2837,697,2095,45
San Francisco,San Francisco County,2000,2540,1241,1285,14
San Francisco,San Francisco County,2001,2852,1387,1461,4
San Francisco,San Francisco County,2002,3840,1367,2468,5
San Francisco,San Francisco County,2003,2055,1410,641,4
San Francisco,San Francisco County,2004,2224,1410,810,4
San Francisco,San Francisco County,2005,2723,1408,1311,4
San Francisco,San Francisco County,2006,2976,1383,1589,4
San Francisco,San Francisco County,2007,3496,1400,2091,5
San Francisco,San Francisco County,2008,4112,1430,2678,4
San Francisco,San Francisco County,2009,3926,1375,2547,4
San Francisco,San Francisco County,2010,865,345,519,1
San Francisco,San Francisco County,2011,299,-4,303,0
San Francisco,San Francisco County,2012,1279,20,1259,0
San Francisco,San Francisco County,2013,2377,24,2353,0
San Francisco,San Francisco County,2014,3514,14,3500,0
San Francisco,San Francisco County,2015,2848,-45,2893,0
San Francisco,San Francisco County,2016,5114,49,5065,0
San Francisco,San Francisco County,2017,4464,-5,4469,0
Atherton,San Mateo County,1990,7,8,-1,0
Atherton,San Mateo County,1991,3,6,-3,0
Atherton,San Mateo County,1992,-3,-2,-1,0
Atherton,San Mateo County,1993,-10,-7,-3,0
Atherton,San Mateo County,1994,1,3,-2,0
Atherton,San Mateo County,1995,4,6,-2,0
Atherton,San Mateo County,1996,0,2,-2,0
Atherton,San Mateo County,1997,-2,0,-2,0
Atherton,San Mateo County,1998,-3,-1,-2,0
Atherton,San Mateo County,1999,-4,-1,-3,0
Atherton,San Mateo County,2000,-7,-6,-1,0
Atherton,San Mateo County,2001,-2,-2,0,0
Atherton,San Mateo County,2002,8,9,-1,0
Atherton,San Mateo County,2003,15,16,-1,0
Atherton,San Mateo County,2004,-2,-2,0,0
Atherton,San Mateo County,2005,-2,-1,-1,0
